run_id,timestamp,status,language,srs,n_frs,stack,model,total_seconds,tokens_in,tokens_out,tokens_total,llm_calls,cost_usd,code_files,code_loc,test_features,test_cases,dafny_n_features,dafny_n_verified,dafny_verification_rate,dafny_axioms,verification_seconds,certification_seconds,cert_n,pass@1,case_pass_rate,n_tested_frs,n_proved_features,prove,certify,samples,max_cert_loops,temperature,verification_pass_ratio,test_case_pass_ratio,avg_input_token,avg_output_token,total_time,avg_verification_iter,avg_test_iter,PassVer@1
20260628-072758-2009-video-search,2026-06-28T07:27:58.838313+00:00,complete,java,2009 - video search,7,naive,anthropic_claude-sonnet-4-6,559.62,27301,46548,73849,19,0.032024,7,1639,4,4,7,3,0.429,0,,,1,1.0,1.0,4,3,True,True,1,0,0.0,0.3478,1.0,1436.9,2449.9,559.62,,,
20260628-073149-human,2026-06-28T07:31:49.606103+00:00,complete,java,Human,2,naive,openai_gpt-5_1,229.059,20880,27224,48104,16,0.019466,7,2751,1,1,7,6,0.857,0,,,1,1.0,1.0,1,6,True,True,1,0,0.0,0.7857,1.0,1305.0,1701.5,229.059,,,
20260628-073446-human,2026-06-28T07:34:46.807012+00:00,complete,java,Human,2,naive,google_gemini-3_1-pro-preview,406.259,24425,56197,80622,17,0.037382,8,821,0,0,8,8,1.0,0,,,1,0.0,0.0,0,8,True,True,1,0,0.0,1.0,0.0,1436.8,3305.7,406.259,,,
20260628-073951-human,2026-06-28T07:39:51.490893+00:00,complete,java,Human,2,naive,anthropic_claude-sonnet-4-6,710.944,32663,58933,91596,24,0.040259,9,2496,5,5,9,4,0.444,0,,,1,1.0,1.0,5,4,True,True,1,0,0.0,0.5217,1.0,1361.0,2455.5,710.944,,,
20260628-074526-dineout-srs,2026-06-28T07:45:26.420893+00:00,complete,java,dineout_srs,26,naive,openai_gpt-5_1,332.906,33736,42934,76670,25,0.030821,10,3225,4,4,10,6,0.6,0,,,1,1.0,1.0,4,6,True,True,1,0,0.0,0.5385,1.0,1349.4,1717.4,332.906,,,
20260628-074827-dineout-srs,2026-06-28T07:48:27.231350+00:00,complete,java,dineout_srs,26,naive,anthropic_claude-sonnet-4-6,513.717,38227,40667,78894,21,0.030134,10,2192,0,0,10,10,1.0,0,,,1,0.0,0.0,0,10,True,True,1,0,0.0,1.0,0.0,1820.3,1936.5,513.717,,,
20260628-075221-dineout-srs,2026-06-28T07:52:21.010521+00:00,complete,java,dineout_srs,26,naive,google_gemini-3_1-pro-preview,747.496,35334,102221,137555,24,0.066633,10,1049,3,3,10,7,0.7,0,,,1,1.0,1.0,3,7,True,True,1,0,0.0,0.7692,1.0,1472.2,4259.2,747.496,,,
20260628-075640-kinmail-srs,2026-06-28T07:56:40.659289+00:00,complete,java,kinmail_srs,13,naive,openai_gpt-5_1,258.25,22256,34623,56879,15,0.024112,6,2732,2,2,6,4,0.667,0,,,1,1.0,1.0,2,4,True,True,1,0,0.0,0.4762,1.0,1483.7,2308.2,258.25,,,
20260628-075932-kinmail-srs,2026-06-28T07:59:32.276319+00:00,complete,java,kinmail_srs,13,naive,google_gemini-3_1-pro-preview,429.866,29359,58918,88277,19,0.039755,9,625,0,0,9,9,1.0,0,,,1,0.0,0.0,0,9,True,True,1,0,0.0,1.0,0.0,1545.2,3100.9,429.866,,,
20260628-080200-kinmail-srs,2026-06-28T08:02:00.034659+00:00,complete,java,kinmail_srs,13,naive,anthropic_claude-sonnet-4-6,577.625,34879,47648,82527,24,0.033821,9,1844,5,5,9,4,0.444,0,,,1,1.0,1.0,5,4,True,True,1,0,0.0,0.3333,1.0,1453.3,1985.3,577.625,,,
20260628-081224-0000-cctns,2026-06-28T08:12:24.580769+00:00,complete,javascript,0000 - cctns,7,naive,openai_gpt-5_1,623.021,46063,78441,124504,32,0.053974,12,6876,7,7,12,5,0.417,0,,,1,0.1842,0.1842,38,5,True,True,1,0,0.0,0.5,0.1842,1439.5,2451.3,623.021,,,
20260628-082152-0000-cctns,2026-06-28T08:21:52.356016+00:00,complete,javascript,0000 - cctns,7,naive,anthropic_claude-sonnet-4-6,1190.795,48808,99269,148077,27,0.066883,11,6007,4,4,11,7,0.636,0,,,1,0.2241,0.2241,58,7,True,True,1,0,0.0,0.5385,0.2241,1807.7,3676.6,1190.795,,,
20260628-082752-0000-gamma-j,2026-06-28T08:27:52.142441+00:00,complete,javascript,0000 - gamma j,6,naive,deepseek_deepseek-v3_2,358.212,40483,18134,58617,17,0.016953,6,903,4,4,6,2,0.333,0,,,1,0.2,0.2,25,2,True,True,1,0,0.0,0.3333,0.2,2381.4,1066.7,358.212,,,
20260628-082946-0000-gamma-j,2026-06-28T08:29:46.390769+00:00,complete,javascript,0000 - gamma j,6,naive,google_gemini-3_1-pro-preview,472.46,37208,64320,101528,13,0.044173,6,688,0,0,6,6,1.0,0,,,1,0.0,0.0,0,6,True,True,1,0,0.0,1.0,0.0,2862.2,4947.7,472.46,,,
20260628-083052-0000-gamma-j,2026-06-28T08:30:52.614392+00:00,complete,javascript,0000 - gamma j,6,naive,openai_gpt-5_1,538.683,57017,73139,130156,36,0.052436,13,6917,9,9,13,4,0.308,0,,,1,0.1552,0.1552,58,4,True,True,1,0,0.0,0.2453,0.1552,1583.8,2031.6,538.683,,,
20260628-083302-0000-gamma-j,2026-06-28T08:33:02.299240+00:00,complete,javascript,0000 - gamma j,6,naive,anthropic_claude-sonnet-4-6,668.368,49541,57323,106864,22,0.041825,8,2611,5,5,8,3,0.375,0,,,1,0.3065,0.3065,62,3,True,True,1,0,0.0,0.3636,0.3065,2251.9,2605.6,668.368,,,
20260628-083513-2009-video-search,2026-06-28T08:35:13.104623+00:00,complete,javascript,2009 - video search,7,naive,openai_gpt-5_1,129.403,12723,17177,29900,9,0.012215,3,1255,2,2,3,1,0.333,0,,,1,0.125,0.125,16,1,True,True,1,0,0.0,0.0588,0.125,1413.7,1908.6,129.403,,,
20260628-084016-2009-video-search,2026-06-28T08:40:16.254713+00:00,complete,javascript,2009 - video search,7,naive,anthropic_claude-sonnet-4-6,432.553,26698,34675,61373,18,0.02481,7,1625,3,3,7,4,0.571,0,,,1,0.5588,0.5588,34,4,True,True,1,0,0.0,0.3913,0.5588,1483.2,1926.4,432.553,,,
20260628-084424-human,2026-06-28T08:44:24.505061+00:00,complete,javascript,Human,2,naive,openai_gpt-5_1,246.697,27265,33466,60731,24,0.024169,9,2826,5,5,9,4,0.444,0,,,1,0.28,0.28,25,4,True,True,1,0,0.0,0.3636,0.28,1136.0,1394.4,246.697,,,
20260628-084922-human,2026-06-28T08:49:22.803141+00:00,complete,javascript,Human,2,naive,anthropic_claude-sonnet-4-6,544.995,31899,43921,75820,23,0.031137,9,2159,4,4,9,5,0.556,0,,,1,0.4848,0.4848,33,5,True,True,1,0,0.0,0.381,0.4848,1386.9,1909.6,544.995,,,
20260628-092318-0000-cctns,2026-06-28T09:23:18.798929+00:00,complete,javascript,0000 - cctns,7,naive,google_gemini-3_1-pro-preview,765.081,40401,104320,144721,23,0.045046,10,1352,2,2,10,8,0.8,0,,,1,0.1818,0.1818,11,8,True,True,1,0,0.0,0.6842,0.1818,1756.6,4535.7,765.081,,,
20260628-092746-2009-video-search,2026-06-28T09:27:46.376452+00:00,complete,javascript,2009 - video search,7,naive,google_gemini-3_1-pro-preview,265.806,17176,33588,50764,11,0.015457,5,354,0,0,5,5,1.0,0,,,1,0.0,0.0,0,5,True,True,1,0,0.0,1.0,0.0,1561.5,3053.5,265.806,,,
20260628-093341-human,2026-06-28T09:33:41.565659+00:00,complete,javascript,Human,2,naive,google_gemini-3_1-pro-preview,353.749,21750,46802,68552,16,0.021039,7,643,1,1,7,6,0.857,0,,,1,0.5714,0.5714,7,6,True,True,1,0,0.0,0.9091,0.5714,1359.4,2925.1,353.749,,,
20260628-094109-kinmail-srs,2026-06-28T09:41:09.313035+00:00,complete,javascript,kinmail_srs,13,naive,google_gemini-3_1-pro-preview,446.354,29742,56649,86391,21,0.026247,9,560,2,2,9,7,0.778,0,,,1,0.6,0.6,10,7,True,True,1,0,0.0,0.7692,0.6,1416.3,2697.6,446.354,,,
20260630-165040-trading-software,2026-06-30T16:50:40.074363+00:00,complete,javascript,TRADING SOFTWARE,12,express,openai_gpt-5_1,282.669,69061,29543,98604,48,0.02594,12,788,12,52,,,,,,4.767,1,0.3333333333333333,0.6538461538461539,12,0,False,True,1,0,0.0,0.0,0.6538,1438.8,615.5,282.67,0.0,1,0.3333
20260630-165201-trading-software,2026-06-30T16:52:01.398947+00:00,complete,python,TRADING SOFTWARE,12,fastapi,openai_gpt-5_1,363.907,74018,36171,110189,48,0.029349,12,1446,12,50,,,,,,34.007,1,0.0,0.32,12,0,False,True,1,0,0.0,0.0,0.32,1542.0,753.6,363.91,0.0,1,0.0
20260630-165247-trading-software,2026-06-30T16:52:47.337338+00:00,complete,java,TRADING SOFTWARE,12,spring,openai_gpt-5_1,409.909,69868,34088,103956,48,0.027685,12,1359,12,45,,,,,,84.07,1,1.0,1.0,12,0,False,True,1,0,0.0,0.0,1.0,1455.6,710.2,409.91,0.0,1,1.0
20260630-165653-event-management,2026-06-30T16:56:53.093320+00:00,complete,python,Event Management,12,fastapi,openai_gpt-5_1,369.513,71879,33964,105843,48,0.028102,12,1510,12,51,,,,,,32.341,1,0.08333333333333333,0.45098039215686275,12,0,False,True,1,0,0.0,0.0,0.451,1497.5,707.6,369.51,0.0,1,0.0833
20260630-165654-event-management,2026-06-30T16:56:54.716393+00:00,complete,javascript,Event Management,12,express,openai_gpt-5_1,239.271,65920,22945,88865,48,0.022957,12,747,12,47,,,,,,4.361,1,0.4166666666666667,0.7021276595744681,12,0,False,True,1,0,0.0,0.0,0.7021,1373.3,478.0,239.27,0.0,1,0.4167
20260630-165855-event-management,2026-06-30T16:58:55.560228+00:00,complete,java,Event Management,12,spring,openai_gpt-5_1,410.89,67469,34693,102162,48,0.027344,12,1215,12,48,,,,,,85.26,1,1.0,1.0,12,0,False,True,1,0,0.0,0.0,1.0,1405.6,722.8,410.89,0.0,1,1.0
20260630-171213-shoten-srs,2026-06-30T17:12:13.285737+00:00,complete,javascript,Shoten_SRS,54,express,openai_gpt-5_1,789.441,155185,77630,232815,105,0.062149,54,2461,17,195,,,,,,16.756,1,0.4074074074074074,0.7384615384615385,54,0,False,True,1,0,0.0,0.0,0.7385,1478.0,739.3,789.44,0.0,1,0.4074
20260630-171820-shoten-srs,2026-06-30T17:18:20.646926+00:00,complete,python,Shoten_SRS,54,fastapi,openai_gpt-5_1,1279.015,167131,118659,285790,105,0.078963,54,5524,17,184,,,,,,177.031,1,0.12962962962962962,0.32065217391304346,54,0,False,True,1,0,0.0,0.0,0.3207,1591.7,1130.1,1279.02,0.0,1,0.1296
20260630-172139-foodsaver,2026-06-30T17:21:39.288296+00:00,complete,javascript,foodsaver,37,express,openai_gpt-5_1,915.671,236047,83101,319148,148,0.082528,37,1858,37,155,,,,,,20.52,1,0.35135135135135137,0.7225806451612903,37,0,False,True,1,0,0.0,0.0,0.7226,1594.9,561.5,915.67,0.0,1,0.3514
20260630-172207-shoten-srs,2026-06-30T17:22:07.271216+00:00,complete,java,Shoten_SRS,54,spring,openai_gpt-5_1,1505.821,161873,105569,267442,105,0.073268,54,4344,17,156,,,,,,490.777,1,1.0,1.0,54,0,False,True,1,0,0.0,0.0,1.0,1541.6,1005.4,1505.82,0.0,1,1.0
