metric,mean_pipeline,mean_cot,mean_mot
verification_pass_ratio,0.5728,0.6442,0.6465
test_case_pass_ratio,0.3317,0.3598,0.4197
avg_input_token,2667.975,2788.9533,2827.56
avg_output_token,849.4556,1043.7833,973.0267
total_time,2318.9094,2207.1653,2738.832
avg_verification_iter,2.9753,2.8243,2.7397
avg_test_iter,1.25,1.2,1.3333
PassVer@1,0.695,0.7558,0.7803
total_tokens,332128.9722,306035.8667,397811.2667
