run_id,timestamp,status,language,srs,n_frs,stack,model,total_seconds,tokens_in,tokens_out,tokens_total,llm_calls,cost_usd,code_files,code_loc,test_features,test_cases,dafny_n_features,dafny_n_verified,dafny_verification_rate,dafny_axioms,verification_seconds,certification_seconds,cert_n,pass@1,case_pass_rate,n_tested_frs,n_proved_features,prove,certify,samples,max_cert_loops,temperature,verification_pass_ratio,test_case_pass_ratio,avg_input_token,avg_output_token,total_time,avg_verification_iter,avg_test_iter,PassVer@1
20260627-172208-0000-gamma-j,2026-06-27T17:22:08.180269+00:00,complete,javascript,0000 - gamma j,6,express,openai_gpt-5_1,272.138,86885,31987,118872,37,0.032225,6,797,6,24,6,4,0.667,0,107.196,1.12,1,0.0,0.5,2,4,True,True,1,4,0.0,0.6667,0.5,2348.2,864.5,272.14,2.17,1,0.6667
20260627-172426-2009-video-search,2026-06-27T17:24:26.404968+00:00,complete,javascript,2009 - video search,7,express,openai_gpt-5_1,136.632,39688,15964,55652,15,0.015532,7,364,1,25,1,0,0.0,0,46.743,2.889,1,0.42857142857142855,0.72,7,0,True,True,1,4,0.0,0.0,0.72,2645.9,1064.3,136.63,4.0,1,0.4286
20260627-172429-2009-video-search,2026-06-27T17:24:29.871388+00:00,complete,javascript,2009 - video search,7,express,google_gemini-3_1-pro-preview,200.046,15555,25856,41411,12,0.017847,7,129,1,0,1,1,1.0,0,36.835,0.001,1,0.0,0.0,0,1,True,True,1,4,0.0,1.0,0.0,1296.2,2154.7,200.05,1.0,0.0,1.0
20260627-172441-0000-gamma-j,2026-06-27T17:24:41.263334+00:00,complete,java,0000 - gamma j,6,spring,openai_gpt-5_1,398.656,127990,46346,174336,44,0.047006,6,1053,6,27,6,2,0.333,0,199.295,35.808,1,0.0,0.0,4,2,True,True,1,4,0.0,0.3333,0.0,2908.9,1053.3,398.66,3.33,1,0.3333
20260627-172554-human,2026-06-27T17:25:54.394203+00:00,complete,javascript,Human,2,express,openai_gpt-5_1,85.415,29743,8290,38033,13,0.009435,2,118,2,9,2,1,0.5,0,47.802,0.51,1,1.0,1.0,1,1,True,True,1,4,0.0,0.5,1.0,2287.9,637.7,85.42,2.5,1,1.0
20260627-172613-2009-video-search,2026-06-27T17:26:13.044895+00:00,complete,javascript,2009 - video search,7,express,anthropic_claude-sonnet-4-6,303.212,35679,25071,60750,13,0.020394,7,399,1,26,1,1,1.0,1,75.752,0.001,1,0.0,0.0,0,1,True,True,1,4,0.0,1.0,0.0,2744.5,1928.5,303.21,2.0,0.0,1.0
20260627-172751-2009-video-search,2026-06-27T17:27:51.556473+00:00,complete,java,2009 - video search,7,spring,openai_gpt-5_1,188.749,43127,19656,62783,15,0.018263,7,547,1,23,1,0,0.0,0,65.491,38.566,1,1.0,1.0,7,0,True,True,1,4,0.0,0.0,1.0,2875.1,1310.4,188.75,4.0,1,1.0
20260627-172911-2009-video-search,2026-06-27T17:29:11.528122+00:00,complete,javascript,2009 - video search,7,express,deepseek_deepseek-v3_2,481.735,38485,19269,57754,15,0.017334,7,216,1,25,1,0,0.0,0,141.163,2.325,1,0.42857142857142855,0.72,7,0,True,True,1,4,0.0,0.0,0.72,2565.7,1284.6,481.74,4.0,1,0.4286
20260627-172924-human,2026-06-27T17:29:24.689318+00:00,complete,java,Human,2,spring,openai_gpt-5_1,91.488,29728,8878,38606,13,0.009786,2,187,2,9,2,1,0.5,0,44.076,8.001,1,1.0,1.0,1,1,True,True,1,4,0.0,0.5,1.0,2286.8,682.9,91.49,2.5,1,1.0
20260627-173206-human,2026-06-27T17:32:06.253260+00:00,complete,javascript,Human,2,express,anthropic_claude-sonnet-4-6,172.968,33976,13204,47180,12,0.013019,2,135,2,10,2,2,1.0,0,76.569,0.002,1,0.0,0.0,0,2,True,True,1,4,0.0,1.0,0.0,2831.3,1100.3,172.97,2.0,0.0,1.0
